business_id,summary
8Z72HW5ydzQFydUxZglurg,"in my 50+ years of life i've had the opportunity to eat at many so called ‘chinese buffets’ from left coast, right coast and even one in Pittsburgh. I was very excited when Tokyo Grill opened in the University City area and the first couple times that we ate there were very pleased, especially with their sushi bar - and it gets busy FAST compared to other Asian buffets a little cheaper if you come just before lunch/dinner."
9Xm2GfG8Rnbb1_CmXyrm3g,"the wings are the tiniest chicken wings I ever had, with absolutely no sauce, and they only served six tiny little wings and two pieces of carrots for nine dollars. The upstairs bar tender was to busy texting on her phone instead than helping us - so we called in a pick up order and were told the wings would be 30 minutes, which is alright but we'd rather not wait, so cancelled that part of our order... this place is usually very good and not particularly slow, even when busy!"
AEx2SYEUJmTxVVB18LlCwA,"Wilensky has syrups in house that they mix with soda. travel and leisure magazine has called this one of the world' best sandwiches, while Anthony Bourdain has been here - and Mordecai Richler wrote about it in the Apprenticeship on Duddy Kravitz: ""it could make someone cooler just by drinking out from an empty glass."" you can also order root beer egg creme soda to go along with your sandwich if you don’t drink soda!"
AT-og6IROn0hJt-HR5Njlw,"octagon steakhouse is one of the best steakhouses out there. staff were friendly and helpful but they didn't seem to be rushing us a second time - so expect dryer steak if you are getting filetting mignon straight up! i took off 0.5 because it was so dark in this restaurant that I didn’t see this bump on floor and almost fell. we ordered sea bass and the little tiny piece came with an appetizer, which absolutely had no taste what so ever."
AT5NZHqoLeP4rhWMM2OWBA,"the food was very tasty but were served slightly cool. the service was a little disorganized but they just opened so I'm giving them an easy pass on that - especially since the manager came over and asked us how everything was. we also had their dessert trio special of 3 mini desserts: tiramishi bread pudding (made in house), blood orange gelatto and cannoli in unique deconstructed style, delicious tuesday dinner!"
Ai-GviVpPlti74NtM8y9QQ,"despite numerous choices on beer and wine there was only a limited food menu at the Whining Pig. ""i just discovered this place when I'm in town last week and will definitely be back"" they have a great selection of beers and a great bartender, but it's bigger than the other location if you're looking for something different he'll let you try them all - we love the pig wig."
AktuBx1W7c3ZdzwuaOp8xg,"i have never been a big fan of Chinese food, but this wasn't bad. the food was excellent and customer service superb ordered the pineapple chicken fried rice which was phenomenal paired it with Mongolian beef - the combo was great! there are only few booths for patron to sit down and dine in, but now there is an ""clean up your plates before you leave"" sign on walls indicating that customers can clean their plates if they want to eat at home / work."
ApeTrSttf8f4KUrBVtcKgw,"this place has one of my favorite burgers and the first 3 times I went it was awesome, good food, great service, and a nice price. however they don't take your order at your table anymore which is causing me to regret going again - as they open at 11am and the employees got there at 10:55am. we had the Juan Jovi burger which had most tender juicy pork you have ever had definitely recommend as well also the diabolic burger!"
CQxhyLM833WF45yrS9yeAA,"'i was devastated at the thought of this but knew how things could turn out very painful for her in the final stages, and keeping him around was starting to become selfish. I asked the Doctor is that we can play music and then he said yes (i wanted she fall asleep to a nice peaceful Sam Smith song) 'they didn’t administer the last medication until my son was fully ready,' says Alicia - 'the best way to say good bye and head off to Rainbow Bridge'"
CSGJxWQwD_QfOKxp569grQ,"head & shoulders is one of the best hair salons in the country. stylists are friendly, professional and do not push certain products like Aveda does unless you ask for specific usage - they're better than store bought brands and worth it if you have curly or curly hair at home! ""i was sold when I heard ""white&red"" so my cute as an button stylist waverly came to get me tucked into a red wine glass."
Cr066pnTj0ioEMZRTHgMOw,"i went to this restaurant just once, the quality of food is not well enough for price. it comes with persian rice and salad and pita bread, The lamb was fantastic great taste the chicken wasn't overcooked. you will serve the food in plastic dishes and utensils, with little bit more than rice, yogurt and lettuce - they add lot color to cheap meat & oily rice...this is baddest experience I had in restaurant,Don’T put your Health on risk!"
DcfkRb2bS2c8z21WH-aS6A,"the whole meal was bland, and lacking in flavor, but all had a dirty grease taste to it. not my favorite either seems too watery in her opinion - I love that the place gives you chips and salsa before your actual meal so i amn't absurdly full from stuffing my face before hand... i will be very upset as this review is nothing she ordered and the food looks AND tastes like reheated, he won’T be coming back ever!"
GUsYtGG557XKlHaMH87erg,"chico's is a typical ""lunch rush"" atmosphere, but it'll hold true regardless of the hour. there are 5 or 6 salsa bars to choose from, and there will be no salsa already included with your to-go order if you need to be in-and out quickly at lunchtime et cetera nicolas says he's never been back despite being treated poorly by short fusetude lady, Yolandra."
Gr_TkW3iFdgahixONGBsww,"the hotel is in a good location - the restaurants and bars are pretty cool places to go, but there's an caveat to that which will be detailed on the negative aspects. it took me all of the way up to the GM for them not to recognize they should take care about their customers who have 20 rooms occupied in their hotel he gave us a 4 star rating instead than 5 stars based on my experience with the hotel istayed at."
GwKq3kjkFXhbBMAwe4H3rg,"i've been coming to Vegas for many years but only the last 4 year my friends and I would reach out to Michelle for all of our day and nightclub parties. she was very responsive and got our whole group into the pool free on Saturday with Skrillex and a drink for ladies. her team, fast responses, awesome comp guest list deals for every club and special hotel deals before even getting to Las Vegas :) She is really kind, always quick to reply and eagerly introduces many free entries!"
I6MRD0JkDDa74TbVOJ1ykw,"waffle house is one of the cleaner and newer feeling Waffle Houses. food is amazing, first time I visited they thought ""that're not enough"" server was rude and stated with attitude and annoyance as to why we didn’t say anything when we were waiting for something good... but she said ""ok"" and walked off after awkward silence a waitress made at least half my order while other lady got confused between orders of another customer...."
IBYExgJ6jURNJOk_5uSrKg,"the sampler included cold practically still frozen edamama and items that seriously looked like they came straight out of. box in my grocery store - then called out your name or the order and expecting you go fetch if you want to eat there 'at the table' instead of pointing me in direction of the items and watching him get up to retrieve them for myself, my server told us not too worry about it. when i got back to my office with lunch, I had so much sauce in the box that it"
IB_aESRBh2cmYWSF6Fv0jQ,"john sutter: i protest this place for the sole reason of their warranty service (Centurion Home Shield) he says our delivery guy was over an hour late to dropping off our appliances, unprofessional. sutter: it is the worst warranty service to work with and we can't afford to pay for it if it'll take so long a repair - cnn.com/repairs & more!"
IT8amJTTW64XAre4ilKcjg,"the last time i was there, my nail technician made me feel rushed or not as important. I like how they match up their gels and regular colors so that it is easy to find if you are like me & like to get regular polish on your toe nails and fingernails - just makes things easier... but now everyone will go here...but we can't keep this all to ourselves! ""it was really good, and now everybody will come here,"" says jennifer hudson"
IUMyUYOIR9UQ7XGIEQKOuA,"customer service was good but keep in mind chicken can take anywhere from 12 to 20 minutes. this is an airport location with a limited menu and no seating at all - the chicken was hot and crisp - I definitely went for it and was not disappointed how bland and dry it wasn't once you get over the finger-burning heat of their chicken wings i got one waffle, two small chicken wings,and side of greens for 15$,that'd be ok for me because the sweet syrup does NOT taste good with"
IeK0nzbMPbWnUBIPB83v6A,"if you've ever been to a similar establishment (say Crocodile Rocks in myrtle beach) you have likely seen. two really talented musicians who go for hours on their pianos and keep you going all night - but none of them can sing particularly well, they launched into songs that nearly no one could understand because the volume was too high – even the bar staff and servers. security guy was pushing me away to the entrance - I told him to don’t act like that and other guys called"
IzcL0KZPKqMbjoIaCmClog,"the range is one of my favorite things in all, but i hope she treats me better next time I go there. safety is their number 1 concern at the range, but they do it in an manner that doesn't make you feel uncomfortable. ""the only thing that bothered me was how they micro mamage everything and look almost over your shoulder,"" says cnbc's adam mccarthy jr edwards o'connell jones hq."
JTo0oS3iiMl6UPWA6aI8SQ,"the portions for the roti and curry were HUGE, I had to give the rest of it back to my dad to finish. the difference between small and large is the bowl size and more soup which at first seems better choice to get large - however, it's same portion as small! this is your typical Asian style eatery where food will come as soon when its ready, and often times people are watching others eat if you arent dining solo a lot."
Jcyu0ml7rxizEA8giSH-8A,"service is self-serve (food court) and a little slow but it's because they make all their meat fresh to order so we didnt mind waiting longer even though I was starved. food was not on point at any time, meat were tough and lamb were under cooked (i chalk this up to the fact that its been Rammam time and restaurant wasn’t even remotely busy). ""if you're coming here for first try the ""Sardari Kabob"", it'll be great!"
JiNtFt02pLvjXkqxZL737Q,"the service was REALLY slow and no apology whatsoever prohibits me from giving more than one star. ""i went there not knowing what to expect and found them to be packed, but lacks"" ""wildberry"" is the worst breakfast place for kids they don't let you sit in booth if your need high chair... they say it has health code which isn’t then what does NOT off box cereal for kids wow 1 breakfast and 2 kids pancake $30 lmao"
Jol7cXrDmKKmu_V6qp4wMA,"i visited al-hana for the first time today for an unofficial Yelp event in mexico. it had some great Hummus and pitt bread plus my main course of lamb Kafto for $8.99 & soda for $099, this meal set you back $10.75 thursday eve sat down to eat at the location in Meso he said it was ""almost like a street shawarma"""
JqBtQ1bSynPHE9gbyuSSvA,"it is rare for me to give such a low rating, but the just an awful food and all the mistakes means I will not be coming back unless my friends order it. although the burger was over cooked and dry/tasteless, the service was ok but not great- they had baby chairs but did no offer it even though we were holding our little one! each time that i end up at Jukebox, due on the size of their food and how delicious they are, this is my go-to place with"
KY2vtER_NgmonFNY_XFDpg,"i've been seeing a chiropractor on and off for the last 10 years and it was not until I went to see Dr. Cady that she left without feeling ANY pain - after 3 hours of sleep, while filling out paperwork, accidentally spilled my water on floor! i love my doctor (JoY Wolf) - her attention is unmatched my any medical physician you're ever come across. every question has had, have been promptly answered and the doctor's expertise knowledge in directing me exactly what"
KjjNv4YFzBFnsBh2ncH1Iw,"china tango is across the street from my home in summerlin, illinois. it's a great choice for hot nights when you just cant bear to cook - but there are other places that do what they do better... like kung paok 3 ways & chow mein and egg flower soup / wontons skins with 2 kinds of sauces. pro tip: don’re ordering sweet n sour pork or honey walnut shrimp and on diet – you shouldn"
LScYNYAA78iQL6pWOqt-WQ,"the dog bar in noda is a great place to watch the dogs play and run around while you kick back with drinks. beer and liquor are available and pricing is very reasonable, but stay away from the canned beers if you're going to have a big dog behind the bar licking the tops of the bottles - it'll cost you more than most of the bars in Charlotte et cetera ltd will charge you."
Mx8jCUdhaNbMgx_04DWHdA,"a signature burger of the day is 2 for 10 bucks or 1 per 5. the gravy was rather bland, and there wasn't much between buns once it had been flattened and cooked on the grill - this place may not merit eat in during hours when daily special offers are valid 1-2 for 1 burgers until 5pm if you happen to be very close by... but i will be filing my formal complaint as my dad had an obvious back injury and yet the server was so rude to him"
NRAmrbIGgXgH5uYv8GGJ5A,"if you take the time to seek out this restaurant you will not be disappointed! every sandwich on menu is amazing and you have must try the house special ""Sloppy Joseph"" (don't pass up on the jalapeos and queacho) it'll be a great place for a quick lunch or dinner after a long day at work, but there are other things on the menu that we still haven’t tried yet. don'd eat here again unless you were in town for 2 weeks"
NV5Q8ZhDSh_oI8ZOnn72Lw,"the fries are hot and limp the way hand cut burgers should be, but they're not worth waiting for when you have as little time left as I do. of course, my family just had an early dinner and his brother was telling him that the Burger Factory has funnel cakes and that we should go out for it as group dessert - so that is a good omen if you are into burger choices... some of which look to being larger such like double or even triples!"
NdpvGGF4cLrdnA6ydSZz3g,"the beef is too hard and tough, even if you dip it in hot pot for 5 seconds the meat goes too hard and tough. there are lots of food to choose from, but you have more than once to get them to come out - or to get more then 4 pieces of each 'order' you have to order more than once to get it to come out, or to get more that four pieces of each. we had to ask for water 3 times before it came, our soups were only refilling once and that was"
NnxwkiBvSSyKeFiez0DDcQ,"the staff at barney's is very helpful and friendly. but the handbag department is rude as hell - if you are dressed down, they automatically think that one isnt going to spend money, they dont even bother helping! this year I have been traveling a lot because of my job (flying in and out of state usually twice per week), which has made pleasing my loved ones my #1 priority when im home  especially on their birthdays."
OjnRf8yDGEBCoUDdchSViw,"jamburrito's is a regular staple at Food Truck Fridays at the Phoenix Public Market. ""the fish seemed undercooked, but very greasy at same time,"" says reviewer. food truck fridays are a great opportunity to see what other food trucks have to offer if you want to try something new el paso. check out the full review here : www-foodtruckfestival.com ; cnn.com/foodtourists"
PyMcV7WSYVqg1_S29G109g,"john avlon: my service at yelp is terrible and I will not be coming there again. he says the last few times i have had my oil changed it was horrible experience - even with the supremer wash! avllon: don't give me an excuse get your people to perform like they used do until you do."" he says if YELP gets its act together, it's going to be a waste of time and money..."
QaFO4S6HFUu2NIbeu4OwCg,"aaron carroll: after bad customer service experience, I decided to buy another brand. he says it's refreshing to have someone who knows their job, does it exceptionally well - and cared about you! if it is the companies fault that they cannot honor an appointment on such short notice, i'm not sure...that is up for management. carroll: if you can't find an appointment that fits your schedule or some sort of fee off of the service, go elsewhere."""
QbdADbSI908Or0ybjuQLxw,"the staff is amazing and super friendly, it's almost like you are going to visit your friends over there. truely amazing customer service, every flavor is out of this world i wish they would open another shop on the north end side of lax - but the drive 17.2 miles is worth the drive if you want to buy from them a vape mod he made me happy today! ""on an scalefrom 1-10 I give this place my 10"""
QeEQXdto_4wFRaNKyIygRA,"the food is actually good enough that I put up with service - so, it's definitely an excellent place to grab a bit when you visit downtown. three of four blocks from banks of american stadium and one block away from the BB&T ball park. this could serve as another great spot to grab if you are visiting downtown detroit despite being in the city at the same time – just don’t be surprised if things go terribly wrong!"
QqGMtc24VdCzYAajw1g4bA,"the waitress shifted sides of the table to take orders because she could not here people when ordering or their questions. the horrible blonde hostesses will be rude, tell you how much to tip and make bad comments about your customers - but it'll be worth it if you ignore her a few times he has lost you good customers! ""i would have given 5 stars EXCEPT the horrible blonde hostessed woman who seemed like getting pleasure by being so"""
QxRKQ_Lzu4lMOejwVgcdAg,"the best bar food around the north hills and a friendly atmosphere make North Park Lounge great to hang out with your friends and relax. you can watch npl games and hangout with good people, but it's not quite the place for me. I noticed at least 2 toddler in attendance which was odd to me being that NPL seems just as focused on the bar/lounge aspect of their establishment than on its food & drink aspects - even though most customers seemed enjoying more than two adult beverages..."
R43QH4FqHOOJapm5TaCEVg,"stayed at the sister hotel of Tahiti Village for 7 days and loved it. staff were very kind and helpful, rooms were clean and had everything you could ask for a place to stay if you ever come back to Vegas - we would definitely recommend this hotel unless we are in nevada again :) they also have computers in lobby with printers if your need it ;); free shuttle to strip is another plus but website is very deceiving & does not give any information about second hotel "
R4EhR8xhONLFqqI6ZnzNWw,"some may call it a ""dingy hole in the wall"", but beyond the old furniture, the few items that haven't been scrubbed hard enough, and the somewhat questionable washroom, this place houses very delectable dumplings. most of them will be either fried or boiled, but you can ask for the chef to fry most of their dumpling options if you want to treat your taste buds too prematurely death - remember to let them cool off!"
R4R7ttLXfKKWM0VEMoaW4w,"the place is clean, but not a cleanest place I've ever been to. the girls that working their weren’t really friendly, they act like they didnt want their job if they don&apos;s a Loyaltie card holder - oh dear goodness... it'll be good for you if you can get your own samples of yogurt at Yogurtoology! ""it'd be a shame if we couldn're going back,"" says one reviewer"
Rii85bzYKGC9P0zOyAem6A,"i personally can't stand country music of any kind so i had to go to my happy place while I was there. if you're part the ""I Love This Bar"" crowd you will feel like your just came home - but no matter how many of us order, our steaks all come out at same time and cooked to their liking... it took 35 minutes to get in. this is a great place for families, and they even fantastic birthday parties very well...."
RyaCGkXRXxXNeJhbnioz1Q,"coffee machine needs to be calibrated, different members of the family at various times have experienced ""milky"" drinks. this location uses a different setup or needs service their machines - we want coffee not hot milk! with all the money Starbucks makes, they HAVE TO figure something out in the IT department that won't allow customers who order things that are either sold out or outof stock if it isn’ed up / out of stock. when I have gone, they dont seem very efficient."
S6apFS5ghsQg69rcBvm2Qg,"capriotti's is a chain, but don’t let that stop you if your looking for one of the best Italian sub in town. cheesesteaks that rival what you would find in my hometown Philadelphia are just as good - and better than any other philly sandwich shop i've tried :) i was actually going to give this place an overall bad rating but then i found myself getting stabbed by... turkey bone from my Bobbie."
SYExIal3fh3mS3kpoP9Ixg,"the only downside to Ed's is the constant lineup that extend out of their doors. although a bit further away from downtown core, this is really just an indicator of how good they are - not an indication of an inefficiently run shop and not an indicator of an inefficient operation if you haven’t tried them before, it’ll be worth checking out again soon – even if you don’re not sure what flavour(e) you want."
TbkyrVi1b90cZS-rUtnvHA,"cnn's jim boehner bought his new Mazda 3 from Cardinaler Way 3 years ago. the car had a cracked windshield, dent in passenger side, and also passed 80k miles - so he didn’t think they would be interested in buying it back if he wanted to buy it back! but when i got my trade-in turned into them, they let me drive off with my new sporty red Mazda 3 the next day..."
TrwniH-1-Jo_MNNDW2zMkA,"the first time i went in for an oil change was for a simple break replacement. i get my oil changed regularly here and they help me to upkeep my car for perfect running conditions, says cnbc's john sutter jr. sutter: ""they have always stood behind their work and the parts that we have sold"" it is sad that we will be looking at another place now as well as this one if things go wrong with our cars..."
UDiMCb4LKowlozI5mhtO_A,"the owner is a super nice guy and you can tell he really cares about his restaurant with how well it're doing. have been back several times since my last review and have to say things are on top of the upswing with their food as well as service - they have a ton more TVS, food was great, service awesome, $5 bud light pitcher great deal... for an outdoor sports bar it’ll be awesome - they have dozens of TVS, food is great, service amazing,"
UuO28w986H0CO_HJluQmew,"items on Q listed either existed before we moved in and Onq was made aware of them or they fall under normal wear & tear. my husband works full time and can't take off work, so when something like this happens, it makes me want to pull out her hair - while I took pictures, she should have done a whole lot more! If for some reason you decide not to rent with OnQ, take dozens of photos, or even video if possible, of the rental you're choosing."
VWb8gk_DKUCDKw3Xsdq8Jg,"the food was great, but the waffles have significantly reduced in size. the lack of service made me realize that this place is not worth visiting again a second time around he says it'd be a waste of money if it wasn’t for the waffles. we had to wait 50 minutes from when we ordered until served and the waitress apologized - she said ""our ticket times are slow today"" there were many other options including chicken and waffles, eggs Benedict and ""Breakfast Magic"
WA7sC64kCRstywm2EgZXEw,"i tried ""beytis kebab"" and as the desert ""künef with an ice cream"" on top. service is slow, waiter forgets things, have to ask for water again and again - can' not blame them... they have soo much on their plate! i would go there myself, as they have best out of all the turkish/middle east places he has been in a while ;)"
WO3L0pmtAO8ozspmaVdHIg,"the oxtail soup at the market street café at the California Hotel isn't too greasy or salty, but it does change the flavor of the soup due to the woodsiness from the mushrooms. the sweet & spicy pork was dry and hard, the rice and noodles tasted like...mush - the only half way decent thing was the chicken i've had ever paid for ;) I'm usually easy going but the absolute worst food I may have ever eaten in."
XA_m9daZl2VFDA6alnkBvg,"i'm a huge sushi lover but now prefer the bowl style as more filling and generous with fish, and can be totally customized. I found my tunat to have been nice and fresh, no fishy smell or taste, so much in fact I didn’t even finish it all - I got their smallest size! of all poke places we have gone there, Poki Point is always so polite Love love love this place & the staff are always so friendly."
XGaa9NDCwOJ9v0Cj55p28w,"Located at the MGM Grand, its right in casino, but its a good way to get away from the casino floor for awhile. when busy service can be slow, but we just couldn't not spend some time here whenever our trip is at Themsey - which is pretty frequently – if you stumble out of the club at 2am there’ll be nothing better than to mellow down at night with other fun-loving tourist who are looking for the late night chat..."
XVDR44P_74FmA0ANanm4CQ,"house of pizza is a packed parking lot on the east side of connecticut. it's a great place to hang out with friends and family, especially when you're out for lunch or dinner in the evenings if you don’t have ice cream... but there are other options too - check your credit card bill before you go out & get something to eat! do you know a hero? nominations are open for 2013 cnn heroes jimmy carter and "
XuZ9pksVQBIpmVQm6UO2YQ,"the house special duck and the sushi roll with deep fried oyster mushroom were my favorites. the restaurant went to great lengths to mimic the flavour, appearance and texture of meat - but we all missed the part about it being vegetarian cuisine '@_@ looking through their menu, I silently grumble that they only have salmon, tuna, or even an elk selection... looks pretty enough, but there was something just weird about it -- square slices of fish, funny looking white thing lots more arms, then fried tun"
YgWGWza3sXzI0brcOogR5A,"the office is very well decorated and full of all the high tech gear you could want. ""i didn't feel no pain at any when I got my tooth extracted,"" says patient. invisalign is one of the best dental offices in the country based in californiana elizabeth mccarthy san francisco he has ever been to - it'll be worth every penny if you go there!"
ZBE-H_aUlicix_9vUGQPIQ,"a group of 25 people arrived at the Hickory Tavern on friday night. bartender said they were not allowed to open tabs unless they were going to sit in the bar if they were with their group - and everyone was turned away as soon when they told them they were there."" ""i wouldn't recommend this place for large happy hour or drinking type events unless everybody is planning it,"" says cnbc host daniel craig jr."
ZP7U4qUCMjIvasWV7a_mgg,i've been there 6 times (no car closest food chain) as I work around the corner. they made a few mistakes including giving me wrong burger (I ordered the lunch special 5$ double-baked burger with drink combo) when ordering the waffle house special the cook seemed to be upset over my disrupting his convo he finished it literally in 2 minutes. when paying for the special she deducted.60c when asked whether that is how much hash browns cost she replied rudely and left
ZhACHVw9k438Z3i-Gw9BHA,"banh mi boys is opening in my hood and I'm glad they did so. everything had so much flavor yet it was well balanced - nothing too spicy but still had heat, texture of the bread and texture of both the bao and the fries were just beautiful gluttonous food i'll try to make them at home! you can get a traditional bang mi elsewhere for cheaper but those places don’t offer the variety of options that we get to choose from..."
a4GRh1TlOVhPD401mSPLZg,"dr. wellish's staff treated me very nicely from the beginning, she says - they gave her all kinds of eye exams to rule out what would be cause for dry eyes he says a 2 hours is nothing for... lifetime of sight if your getting the Best traveling is no big deal for sight it'll be relaxing and opulent. dr. welch was so caring and attentive right before my surgery, she says i couldnt think of any doctor that I have been there in the"
a6mYyhGgxWhnhrGDHzOTPA,"the big cheese has a great selection of unique toppings and combinations (i.e carolino pulled pork, sausage), but their fries aren't anything special and their gravy is extremely bland! by Calgary standards, poutine is edible, and I would have had no problem giving them 5 stars - however, my pickles were LARGE authentic deli-style sour pickle at $1.00 each – as they are/weren’T worth the $1.00 each."
aDHD7nASfqiQBB6YXy2aGA,"the pretzel shop is just one of those places you as a Pittsburgher need to go and try out. it's ok to stop by for burgers, pretzel sandwiches or soft pretzels on the cheap if you have people coming over - check out the back door in Carey Way & pick up sackfuls of pizza pretzels! they also have dozens of different kinds cookies and sweet treats that are great for lunch or dinner."
bmm5F5smQrHCEkFYjwrQ9w,"bob greene: when we first signed up we were told we couldn't get their highest speed of internet. green was met with an idiotic customer service rep who told me how much my bill had increased, he says now i'm being charged two extra days at a prorated full price of services I did not use - he says! greener: they'll get us out and install all brand new wiring, provide our customers with faster internet, more channels if they love it & keep it "
c0t81YxNqZQuTJrTfn3QYA,"discount tire put a 3 to 4"" long and pretty deep scratch on my factory Tacoman rims. the same thing happened at Big O Tire since then, 9 years ago - they accepted fault & repaired the rims! ""i plan not do business with any Discount tires ever again if I can avoid it,"" says cnbc'd robert mccarthy jr elmore of discount tire america opportunties hq."
c1_adyjYG6JEa1PZAXMOBg,"if you do get the biryani eat with caution as there were small bones in the meat and whole spices and seeds for flavouring so be sure to pick these out or risk getting a mouthful of anise seed. my other friend wanted to order the biryani but asked the waiter whether it contained nuts (he has severe allergy) the manager gave me their dinner for free, but when I tried returning an item which did not reach min standard (Not sweet at all which by basic purpose had failed) they refused to do"
cOY6ipigtTXdcmmmiFiniA,waitress was not around to greet me so I took off to get my breakfast. we literally stood there for 5 min waiting before our waitress finally came over and asked if we needed anything - they were still looking for one! overall it was a very good meal for $14.99 per person ($6.99) but the service just seemed like they were unprepared for the amount of people who were going to be at this restaurant 'overstaffed' with staff that didn’t seem to want any part from customers despite their age 
cPzIic1AqH1ApTVVaww5hw,"-could only order sushi twice in 2 hours and 15 minutes because of how slow the service was and how backed up they were with take out orders, which she prioritizes. overall it is just much worse, and one thing other than its food that really bugged me is: they added 15% tip on my bill without telling him while waiting for us to key into our pin... had I not noticed it I would have put another 15% on the bill if I hadn't mentioned it!"
caq9CTtWB-8K0tdFUhTfAQ,"the waiter was the worst waitress i have ever had anywhere and because of him the food was cold. I will never go back espically with Marcellos Pizzeria a few doors down - save room for the foccacia, it's super fluffy and would probably eat one whole as an entree if you wanted to. this location is located in vaughan mill shopping mall across from a ton other places to eat at."
